Key.shift
'T'
'h'
'i'
's'
Key.space
'i'
's'
Key.space
's'
'i'
'm'
'p'
'l'
'e'
Key.space
'o'
'u'
't'
Key.space
Key.backspace
'p'
'u'
't'
Key.space
'o'
'f'
Key.space
'k'
'e'
'y'
'l'
'i'
's'
't'
'e'
'n'
'e'
'r'
Key.space
Key.esc

2025-05-07 05:40:52,042: Key.shift
2025-05-07 05:40:52,254: 'T'
2025-05-07 05:40:52,603: 'h'
2025-05-07 05:40:53,503: 'i'
2025-05-07 05:40:53,964: 's'
2025-05-07 05:40:54,185: Key.space
2025-05-07 05:40:54,959: 'i'
2025-05-07 05:40:55,109: 's'
2025-05-07 05:40:55,320: Key.space
2025-05-07 05:40:55,630: 't'
2025-05-07 05:40:55,885: 'h'
2025-05-07 05:40:56,075: 'e'
2025-05-07 05:40:56,246: Key.space
2025-05-07 05:40:56,961: 'o'
2025-05-07 05:40:57,237: 'u'
2025-05-07 05:40:57,576: 't'
2025-05-07 05:40:57,762: Key.space
2025-05-07 05:40:58,507: 'o'
2025-05-07 05:40:58,877: 'f'
2025-05-07 05:40:59,152: Key.space
2025-05-07 05:41:00,224: 'k'
2025-05-07 05:41:00,668: 'e'
2025-05-07 05:41:01,098: 'y'
2025-05-07 05:41:01,945: 'l'
2025-05-07 05:41:02,260: 'i'
2025-05-07 05:41:02,540: 's'
2025-05-07 05:41:02,925: 't'
2025-05-07 05:41:04,121: 'n'
2025-05-07 05:41:04,632: 'e'
2025-05-07 05:41:05,151: 'r'
2025-05-07 05:41:05,672: Key.space
2025-05-07 05:41:12,306: Key.backspace
2025-05-07 05:41:12,605: Key.backspace
2025-05-07 05:41:12,832: Key.backspace
2025-05-07 05:41:13,062: Key.backspace
2025-05-07 05:41:14,127: 'e'
2025-05-07 05:41:14,417: 'n'
2025-05-07 05:41:16,139: 'e'
2025-05-07 05:41:16,394: 'r'
2025-05-07 05:41:16,709: Key.space
2025-05-07 05:41:17,300: 'a'
2025-05-07 05:41:17,650: 'n'
2025-05-07 05:41:18,065: Key.space
2025-05-07 05:41:18,731: Key.backspace
2025-05-07 05:41:18,865: 'd'
2025-05-07 05:41:19,174: Key.space
2025-05-07 05:41:19,944: 'l'
2025-05-07 05:41:20,259: 'o'
2025-05-07 05:41:20,832: 'g'
2025-05-07 05:41:21,287: 'g'
2025-05-07 05:41:22,369: 'i'
2025-05-07 05:41:22,682: 'n'
2025-05-07 05:41:22,993: 'g'
2025-05-07 05:41:23,280: Key.space
2025-05-07 05:41:24,579: 'p'
2025-05-07 05:41:25,335: 'a'
2025-05-07 05:41:25,845: 'c'
2025-05-07 05:41:26,207: 'k'
2025-05-07 05:41:27,461: 'a'
2025-05-07 05:41:27,766: 'g'
2025-05-07 05:41:28,092: 'e'
2025-05-07 05:41:30,119: Key.space
2025-05-07 05:41:30,404: Key.esc
